gt_atom_id,pred_atom_id,x_gt,y_gt,x_pred,y_pred,dx,dy,distance
0,10,25.31052468797033,24.52665759648826,24.75,25.75,-0.5605246879703287,1.2233424035117402,1.3456428062655095
1,0,41.31052468797033,24.52665759648826,40.76190476190476,25.61904761904762,-0.5486199260655695,1.0923900225593606,1.2224155531828902
2,1,57.31052468797033,24.52665759648826,56.8,25.5,-0.5105246879703316,0.9733424035117402,1.0991045862433728
3,2,73.31052468797033,24.52665759648826,72.76190476190476,25.61904761904762,-0.5486199260655695,1.0923900225593606,1.2224155531828902
4,3,89.31052468797033,24.52665759648826,88.76190476190476,25.61904761904762,-0.5486199260655695,1.0923900225593606,1.2224155531828902
5,4,105.31052468797031,24.52665759648826,104.76190476190476,25.61904761904762,-0.5486199260655553,1.0923900225593606,1.2224155531828838
6,5,121.31052468797031,24.52665759648826,120.76190476190476,25.61904761904762,-0.5486199260655553,1.0923900225593606,1.2224155531828838
7,6,137.31052468797031,24.52665759648826,136.76190476190476,25.61904761904762,-0.5486199260655553,1.0923900225593606,1.2224155531828838
8,11,153.31052468797031,24.52665759648826,152.85714285714286,25.80952380952381,-0.4533818308274533,1.2828662130355504,1.3606251523004518
9,12,169.31052468797031,24.52665759648826,168.85714285714286,25.80952380952381,-0.4533818308274533,1.2828662130355504,1.3606251523004518
10,7,185.31052468797031,24.52665759648826,184.9047619047619,25.571428571428573,-0.4057627832084165,1.0447709749403131,1.1207987447864014
11,8,201.31052468797031,24.52665759648826,200.9047619047619,25.571428571428573,-0.4057627832084165,1.0447709749403131,1.1207987447864014
12,9,217.31052468797031,24.52665759648826,216.9047619047619,25.571428571428573,-0.4057627832084165,1.0447709749403131,1.1207987447864014
13,13,233.31052468797031,24.52665759648826,232.9,25.7,-0.41052468797030883,1.1733424035117395,1.243086045015318
14,14,25.31052468797033,40.526657596488256,24.761904761904763,41.61904761904762,-0.548619926065566,1.0923900225593641,1.2224155531828917
15,15,41.31052468797033,40.526657596488256,40.72727272727273,41.5,-0.5832519606976021,0.9733424035117437,1.1347150673766588
16,16,57.31052468797033,40.526657596488256,56.72727272727273,41.5,-0.5832519606976021,0.9733424035117437,1.1347150673766588
17,17,73.31052468797033,40.526657596488256,72.72727272727273,41.5,-0.583251960697595,0.9733424035117437,1.134715067376655
18,18,89.31052468797033,40.526657596488256,88.76190476190476,41.61904761904762,-0.5486199260655695,1.0923900225593641,1.2224155531828933
19,19,105.31052468797031,40.526657596488256,104.76190476190476,41.61904761904762,-0.5486199260655553,1.0923900225593641,1.222415553182887
20,20,121.31052468797031,40.526657596488256,120.75,41.75,-0.5605246879703145,1.2233424035117437,1.3456428062655068
21,21,137.31052468797031,40.526657596488256,136.75,41.75,-0.5605246879703145,1.2233424035117437,1.3456428062655068
22,22,153.31052468797031,40.526657596488256,152.75,41.75,-0.5605246879703145,1.2233424035117437,1.3456428062655068
23,23,169.31052468797031,40.526657596488256,168.75,41.75,-0.5605246879703145,1.2233424035117437,1.3456428062655068
24,24,185.31052468797031,40.526657596488256,184.75,41.75,-0.5605246879703145,1.2233424035117437,1.3456428062655068
25,25,201.31052468797031,40.526657596488256,200.75,41.75,-0.5605246879703145,1.2233424035117437,1.3456428062655068
26,26,217.31052468797031,40.526657596488256,216.75,41.75,-0.5605246879703145,1.2233424035117437,1.3456428062655068
27,27,233.31052468797031,40.526657596488256,232.75,41.75,-0.5605246879703145,1.2233424035117437,1.3456428062655068
28,28,25.31052468797033,56.526657596488256,24.761904761904763,57.61904761904762,-0.548619926065566,1.0923900225593641,1.2224155531828917
29,29,41.31052468797033,56.526657596488256,40.71428571428572,57.61904761904762,-0.5962389736846063,1.0923900225593641,1.2445147147091997
30,30,57.31052468797033,56.526657596488256,56.75,57.75,-0.5605246879703287,1.2233424035117437,1.3456428062655128
31,31,73.31052468797033,56.526657596488256,72.75,57.75,-0.5605246879703287,1.2233424035117437,1.3456428062655128
32,32,89.31052468797033,56.526657596488256,88.75,57.75,-0.5605246879703287,1.2233424035117437,1.3456428062655128
33,33,105.31052468797031,56.526657596488256,104.75,57.75,-0.5605246879703145,1.2233424035117437,1.3456428062655068
34,34,121.31052468797031,56.526657596488256,120.75,57.75,-0.5605246879703145,1.2233424035117437,1.3456428062655068
35,35,137.31052468797031,56.526657596488256,136.75,57.75,-0.5605246879703145,1.2233424035117437,1.3456428062655068
36,36,153.31052468797031,56.526657596488256,152.75,57.75,-0.5605246879703145,1.2233424035117437,1.3456428062655068
37,37,169.31052468797031,56.526657596488256,168.75,57.75,-0.5605246879703145,1.2233424035117437,1.3456428062655068
38,38,185.31052468797031,56.526657596488256,184.75,57.75,-0.5605246879703145,1.2233424035117437,1.3456428062655068
39,39,201.31052468797031,56.526657596488256,200.75,57.75,-0.5605246879703145,1.2233424035117437,1.3456428062655068
40,40,217.31052468797031,56.526657596488256,216.75,57.75,-0.5605246879703145,1.2233424035117437,1.3456428062655068
41,41,233.31052468797031,56.526657596488256,232.75,57.75,-0.5605246879703145,1.2233424035117437,1.3456428062655068
42,42,25.31052468797033,72.52665759648826,24.761904761904763,73.61904761904762,-0.548619926065566,1.092390022559357,1.2224155531828853
43,43,41.31052468797033,72.52665759648826,40.75,73.75,-0.5605246879703287,1.2233424035117366,1.3456428062655064
44,44,57.31052468797033,72.52665759648826,56.75,73.75,-0.5605246879703287,1.2233424035117366,1.3456428062655064
45,45,73.31052468797033,72.52665759648826,72.75,73.75,-0.5605246879703287,1.2233424035117366,1.3456428062655064
46,46,89.31052468797033,72.52665759648826,88.75,73.75,-0.5605246879703287,1.2233424035117366,1.3456428062655064
47,47,105.31052468797031,72.52665759648826,104.75,73.75,-0.5605246879703145,1.2233424035117366,1.3456428062655004
48,48,121.31052468797031,72.52665759648826,120.75,73.75,-0.5605246879703145,1.2233424035117366,1.3456428062655004
49,49,137.31052468797031,72.52665759648826,136.75,73.75,-0.5605246879703145,1.2233424035117366,1.3456428062655004
50,50,153.31052468797031,72.52665759648826,152.75,73.75,-0.5605246879703145,1.2233424035117366,1.3456428062655004
51,51,169.31052468797031,72.52665759648826,168.75,73.75,-0.5605246879703145,1.2233424035117366,1.3456428062655004
52,52,185.31052468797031,72.52665759648826,184.75,73.75,-0.5605246879703145,1.2233424035117366,1.3456428062655004
53,53,201.31052468797031,72.52665759648826,200.75,73.75,-0.5605246879703145,1.2233424035117366,1.3456428062655004
54,54,217.31052468797031,72.52665759648826,216.75,73.75,-0.5605246879703145,1.2233424035117366,1.3456428062655004
55,55,233.31052468797031,72.52665759648826,232.75,73.75,-0.5605246879703145,1.2233424035117366,1.3456428062655004
56,56,25.31052468797033,88.52665759648826,24.761904761904763,89.61904761904762,-0.548619926065566,1.092390022559357,1.2224155531828853
57,57,41.31052468797033,88.52665759648826,40.75,89.75,-0.5605246879703287,1.2233424035117366,1.3456428062655064
